"BusTID","InternalNo","BusPlate","SIMCode"
"161201110826406","5902","粤G58215","8986011674520048335"
"161203113110999","3702","粤G56877","8986011474520008638S"
"161203115256665","3701","粤G56925","8986011474520008644S"
"161205095629431","3704","粤G56817","8986011626520021176S"
"161205095741850","3705","粤G56836",""
"161205095842203","3706","粤G56896","8986011474520008636S"
"161205095945424","3708","粤G56847","8986011474520008615S"
"161205100048328","3709","粤G56861","8986011474520008618S"
"161205100353166","3710","粤G56908","8986011474520008643S"
"170222143806195","3703","粤G56883","8986011474520008645S"
"170223165532551","3007","粤G58357","8986011674520048326S"
"170223174237151","11112","12131321",""
"170224145157644","3001","粤G58301","8986011674520048320S"
"170224164905962","3003","粤G58307","8986011674520048322S"
"170224165140831","3006","粤G58339","8986011674520048325S"
"170224195525666","3014","粤G58311","8986011674520048333S"
"170225114038154","3010","粤G58350","8986011674520048329S"
"170225114644600","3002","粤G58302","8986011674520048321S"
"170225121004486","3004","粤G58335","8986011674520048323S"
"170225121354208","21007","粤G58290","8986011674520048331S"
"170225121807975","3009","粤G58312","8986011674520048328S"
"170225125322697","3016","粤G58280","8986011674520048204S"
"170225131005731","3011","粤G58296","8986011674520048330S"
"170225131221557","3005","粤G58303","8986011674520048324S"
"170225132143708","3015","粤G58297","8986011674520048334S"
"170227092244574","3013","粤G58247","8986011674520048332S"
"170227093344478","3008","粤G58328","8986011674520048327S"
"170227175709923","3707","粤G56891","8986011474520008596S"
"170320144116532","80909","粤G58141",""
"170320150338590","80911","粤G58256",""
"170320151035438","80907","粤G58293",""
"170320152954103","21008","粤G58295",""
"170320153720834","21006","粤G58175",""
"170320154333105","80904","粤G58246",""
"170320155819351","80905","粤G58145",""
"170320161305112","80901","粤G58217",""
"170320162514688","80908","粤G58253",""
"170321105302179","80903","粤G58040",""
"170325184311418","2509","粤G58325","8986011674520048209"
"170328222232862","80902","粤G58317",""
"170401111821221","2506","粤G58300","8986011674520048063"
"170401115336408","2510","粤G57405","8986011674520048064"
"170401135540827","2502","粤G58326","8986011674520048024"
"170401140017762","2503","粤G58336",""
"170401141018858","2501","粤G58249","8986011674520048026"
"170401141936702","2504","粤G58356","8986011674520048203"
"170401143839521","2508","粤G58438","8986011674520048021"
"170401154940356","2507","粤G58313","8986011674520048037"
"170401160034514","2505","粤G58306","8986011674520048210"
"170405112553434","霞机99","粤G88888",""
"40288dee5b476aa5015b5aef40390306","3110","粤G52821",""
"40288dee5b476aa5015b5bf9f64e03d1","0102","粤G55747","14546971589"
"40288dee5b476aa5015b5bfa946703d3","0103","粤G55947","14546971587"
"40288dee5b476aa5015b5bfd77f003db","0107","粤G55457","14546971461"
"40288dee5b476aa5015b5bfe13e003dd","0108","粤G56138","14546971585"
"40288dee5b476aa5015b5bfee25b03df","0109","粤G55240","14546971566"
"40288dee5b476aa5015b5c00762303e3","0111","粤G55740","14546971603"
"40288dee5b476aa5015b5c01402703e5","0112","粤G55945","14546971593"
"40288dee5b476aa5015b5c01fddf03e7","0113","粤G55647","14546971600"
"40288dee5b476aa5015b5c02a45d03e9","0114","粤G55841","14546971582"
"40288dee5b476aa5015b5c0424e003ed","0116","粤G55041","14546971595"
"40288dee5b476aa5015b602981ed0575","机动车01","粤G585691",""
"40288dee5b476aa5015b602a4ce50577","4813","粤G58499",""
"40288dee5b476aa5015b602b0a700579","4814","粤G58508","8986011626520021152"
"40288dee5b476aa5015b602d197e057b","22312","粤G58569","8986011626520021209S"
"40288dee5b476aa5015b602df594057d","宝钢13","粤G58169",""
"170412203525625","0101","粤G56149","14546971570"
"170413194858447","1603","粤G58343","8986011674520048498"
"170413202325307","0115","粤G55427","14546971568"
"170413214247131","0106","粤G54947","14546971576"
"170414213856520","0110","粤G54941","14546971604"
"170414220235514","0118","粤G55247","14546972108"
"170414222306775","0105","粤G55940","14546994945"
"170414224607779","0117","粤G55470","14546971552"
"170415001011123","0104","粤G56156","14546971572"
"40288dee5b476aa5015b5c2fc64f0457","1618","粤G58397","8986011674520048361"
"40288dee5b476aa5015b5c2f0a530455","1617","粤G56740","8986011626520021223"
"40288dee5b476aa5015b5c2e58260453","1616","粤G57140","8986011626520021222"
"40288dee5b476aa5015b5c2d9a7c0451","1615","粤G58395","8986011674520048364"
"40288dee5b476aa5015b5c2cd63b044f","1614","粤G58400","8986011674520048359"
"40288dee5b476aa5015b5c2c4646044d","1613","粤G58391","8986011674520048358"
"40288dee5b476aa5015b5c2b72be044b","1612","粤G58402","8986011674520048504"
"40288dee5b476aa5015b5c2a9d700449","1611","粤G58411","8986011674520048499"
"40288dee5b476aa5015b5c29ef7b0447","1610","粤G58393","8986011674520048496"
"40288dee5b476aa5015b5c2911080445","1608","粤G56595","14546971889"
"40288dee5b476aa5015b5c2858930443","1607","粤G58389","8986011674520048363"
"40288dee5b476aa5015b5c2774330441","1606","粤G58396","8986011674520048365"
